CT,Total,Aboriginal,North American ,European,Carribean,Latin,African,Oceania,Middle Eastern,South Asian,East Asian,Other Asian
0245.00,6900,220,1100,3540,655,790,320,0,70,960,500,0
0246.00,3265,60,395,1840,225,150,115,0,125,500,290,0
0247.01,8240,0,270,990,1005,700,525,0,235,4550,475,40
0247.02,6855,60,805,3010,450,420,300,0,170,1710,915,40
0248.02,5675,0,295,1025,995,370,1860,0,420,815,500,0
0248.03,2700,0,90,460,645,300,230,0,25,1000,220,0
0248.04,5530,0,460,560,840,535,775,0,80,2340,405,0
0248.05,4145,20,240,980,515,220,225,0,80,1410,985,0
0249.01,4830,0,150,1105,460,660,295,0,0,2315,425,0
0249.03,5845,15,605,1150,905,495,640,0,60,2595,440,0
0249.04,3260,0,150,700,270,175,150,0,85,1765,270,0
0249.05,5510,0,140,380,280,95,455,0,1135,3160,180,110
0250.01,5040,175,540,1440,335,405,335,0,440,1735,440,0
0250.02,4950,20,415,2310,475,380,635,0,230,795,365,0
0250.04,6030,20,325,580,1200,505,1195,0,230,2425,170,40
0250.05,7405,0,160,815,875,290,930,0,2055,2415,260,35
0260.01,6870,70,455,1290,205,85,415,0,635,3015,1555,0
0260.03,7410,35,470,2080,430,220,635,0,725,2190,1400,155
0260.04,4085,0,120,700,110,185,430,0,1060,1160,640,25
0260.05,3800,65,235,930,215,215,640,0,475,1050,380,0
0261.00,5130,80,395,1445,280,200,560,0,325,1870,585,15
0262.01,5470,175,865,2775,410,140,245,0,290,685,805,0
0262.02,6260,40,640,2885,540,145,510,0,1370,420,835,0
0263.02,3050,15,375,1795,70,85,80,0,225,200,730,0
0263.03,5320,90,530,2790,155,195,235,15,300,535,1475,10
0263.04,5245,30,615,2670,145,140,270,0,730,780,795,0
0264.00,1450,0,95,665,0,35,35,0,165,110,510,0
0265.00,3985,40,930,3370,40,40,65,0,145,50,310,0
0266.00,3215,50,430,2380,0,0,30,25,210,75,530,0
0267.00,6600,0,825,3145,45,10,175,0,400,620,2420,0
0268.00,6310,30,965,4035,105,65,315,0,310,345,1195,0
0269.01,4920,75,375,1710,595,390,410,0,640,825,895,0
0269.02,2575,55,330,1385,420,70,240,0,95,100,510,0
0270.01,5150,180,600,3120,245,225,225,30,400,485,980,0
0270.02,4040,65,830,2320,440,195,440,0,505,270,405,0
0271.01,2455,20,380,1580,160,30,50,0,115,285,440,0
0271.02,4795,60,680,2455,390,135,235,0,510,390,770,0
0272.01,5875,50,590,2375,735,320,415,0,425,935,1325,0
0272.02,4745,15,400,1995,230,100,335,0,395,795,1090,0
0273.01,3990,0,395,1950,95,50,155,0,440,315,1255,0
0273.02,4300,0,455,2100,70,20,25,0,355,325,1540,0
0274.01,4865,70,570,2855,150,195,165,20,530,225,1200,0
0274.02,4725,100,580,2935,55,40,95,0,415,220,1060,0
0275.00,5710,0,1340,4420,215,20,40,15,305,80,480,0
0276.01,6320,70,805,5030,110,40,205,0,260,100,815,0
0276.02,6700,105,1330,5250,20,115,155,0,400,140,885,0
0277.00,4210,0,745,3425,60,95,65,0,215,25,480,0
0278.00,7755,95,1115,6235,170,115,345,0,430,135,705,0
0279.01,4170,20,225,3095,65,220,65,0,100,120,605,0
0279.02,6030,0,370,2905,600,355,280,0,150,640,1460,20
0280.00,7160,110,700,3370,965,965,385,0,355,750,515,30
0281.01,6470,0,380,1950,750,485,600,0,35,900,2045,0
0281.02,3870,20,380,1275,945,515,830,0,45,115,355,0
0282.00,4335,20,610,2630,235,405,155,0,50,355,425,0
0283.01,5290,0,290,1860,1210,530,1080,0,95,445,670,0
0283.02,4605,25,305,2315,490,240,1170,0,30,100,245,0
0284.00,6605,55,565,3590,365,400,75,0,140,1125,880,10
0285.00,3335,0,330,2095,200,245,190,0,95,185,530,0
0286.00,3610,95,355,1830,505,230,490,0,150,215,380,0
0287.01,7435,35,935,3670,870,220,1190,0,545,300,1085,0
0287.02,6010,70,445,2850,305,230,325,0,185,145,2325,0
0288.00,8395,25,1025,4645,380,190,230,0,245,235,2660,0
0289.00,4505,0,495,2585,130,375,55,0,415,145,745,0
0290.00,4630,30,490,2305,600,640,230,0,15,275,995,0
0291.01,3785,50,335,2070,390,285,150,0,250,70,640,0
0291.02,4890,0,350,2590,445,290,335,0,95,220,995,0
0292.00,6925,25,645,1900,1520,905,870,0,60,600,1235,0
0293.00,4295,15,475,2435,445,265,225,0,130,205,570,0
0294.01,4340,20,555,1765,515,585,495,0,325,95,580,0
0294.02,4660,30,410,1505,550,1280,185,0,45,335,930,35
0295.00,5310,75,480,2500,575,580,315,0,245,330,1225,0
0296.00,145,0,0,135,20,0,0,0,0,0,0,0
0297.01,6555,20,550,4430,110,320,80,10,515,255,1075,0
0297.02,6160,0,600,4415,45,120,155,0,400,205,1120,0
0298.00,4480,0,645,3695,45,155,140,0,125,0,495,0
0299.01,5925,55,1025,3965,170,125,65,0,355,235,1095,0
0299.02,4140,10,360,1405,150,45,75,0,760,265,1400,0
0300.00,10040,15,990,3915,160,260,335,15,1665,570,3400,95
0301.01,2940,0,345,1405,235,30,85,0,125,180,1065,0
0301.03,4400,55,200,760,135,60,220,0,825,1205,1395,20
0301.04,4065,15,255,900,285,140,135,0,745,985,1160,0
0302.01,6390,50,780,2805,90,225,140,0,720,405,2140,0
0302.02,6165,0,240,1995,185,140,210,0,505,715,2965,0
0302.03,3580,30,200,995,115,80,25,0,240,500,1720,0
0303.00,5425,15,235,1255,270,130,175,0,700,590,2400,0
0304.01,4540,0,335,1450,180,170,195,25,865,635,1335,0
0304.02,4010,50,335,1885,70,35,25,0,455,255,1375,115
0304.03,2820,25,280,1095,350,80,145,0,160,180,1115,0
0304.04,3580,0,250,1010,145,190,85,0,685,460,1175,0
0304.05,2865,0,80,875,60,0,30,0,255,335,1350,25
0304.06,6050,35,315,1705,265,145,85,0,695,675,2580,0
0305.01,4555,85,390,1970,0,55,55,0,535,155,2015,0
0305.03,4725,0,460,1855,100,80,95,15,700,215,1725,0
0305.04,5190,35,215,1700,155,155,115,0,820,385,2220,0
0306.01,4665,0,200,1440,155,100,310,0,400,150,2430,0
0306.02,4395,0,195,1355,20,75,215,0,545,350,2020,0
0307.03,4970,0,135,845,105,40,45,0,705,235,3085,0
0307.04,6270,0,390,1780,55,75,135,0,1015,340,2940,0
0307.05,3540,0,190,635,55,45,25,0,550,220,2080,0
0307.06,5440,30,130,960,40,90,145,0,1215,210,2995,0
0307.07,5620,30,365,1795,55,125,240,0,720,260,2635,0
0308.01,10540,50,770,4275,80,200,210,25,1520,470,4120,0
0308.02,4425,75,540,2895,85,160,55,0,310,175,840,0
0309.00,6150,0,395,3055,280,155,185,0,570,165,2070,0
0310.01,3435,0,405,2680,30,125,75,0,210,15,345,0
0310.02,5090,20,525,2945,245,255,140,0,550,310,720,0
0311.02,5925,40,440,2125,470,390,405,0,255,1085,1225,25
0311.03,2640,25,135,1395,390,60,95,0,125,310,395,0
0311.04,6865,30,645,2785,895,535,360,0,290,625,1795,0
0311.05,6580,40,630,1590,700,415,880,0,645,1860,895,10
0311.06,5275,0,385,1535,295,295,730,0,290,945,1360,0
0312.02,3625,0,210,465,510,745,400,0,45,535,1255,30
0312.03,6495,0,515,2305,920,1610,435,0,385,440,1005,0
0312.04,5705,0,205,855,790,685,940,0,165,865,1725,0
0312.05,3755,0,305,505,1160,555,715,0,100,590,685,65
